#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2295 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:59 out:60 type:b dur:2 cpbdur:2 q:18.38 aq:13.66 tex:11714 mv:3902 misc:1640 imb:1 pmb:612 smb:2987 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:18.77 aq:9.44 tex:241931 mv:6336 misc:621 imb:56 pmb:1125 smb:2419 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:18.63 aq:13.64 tex:25739 mv:6293 misc:1536 imb:3 pmb:805 smb:2792 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:18.57 aq:14.79 tex:10372 mv:3741 misc:1615 imb:2 pmb:539 smb:3059 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:18.70 aq:14.96 tex:10564 mv:3562 misc:1586 imb:0 pmb:532 smb:3068 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:18.79 aq:8.94 tex:247042 mv:6397 misc:577 imb:63 pmb:1127 smb:2410 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:18.78 aq:13.83 tex:26925 mv:6499 misc:1488 imb:0 pmb:861 smb:2739 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:18.77 aq:15.22 tex:11161 mv:3471 misc:1512 imb:3 pmb:496 smb:3101 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:18.78 aq:15.23 tex:11085 mv:3686 misc:1501 imb:3 pmb:537 smb:3060 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:18.81 aq:9.28 tex:250970 mv:6348 misc:586 imb:57 pmb:1133 smb:2410 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:18.80 aq:13.61 tex:25559 mv:6560 misc:1417 imb:4 pmb:846 smb:2750 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:18.80 aq:15.53 tex:10772 mv:3761 misc:1579 imb:2 pmb:546 smb:3052 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:18.81 aq:14.68 tex:12635 mv:3959 misc:1598 imb:2 pmb:600 smb:2998 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:18.81 aq:9.65 tex:250577 mv:6408 misc:575 imb:61 pmb:1118 smb:2421 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:18.81 aq:13.46 tex:25459 mv:6481 misc:1548 imb:2 pmb:824 smb:2774 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:18.81 aq:15.06 tex:13093 mv:4020 misc:1607 imb:2 pmb:558 smb:3040 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:18.81 aq:14.71 tex:12544 mv:3506 misc:1558 imb:2 pmb:552 smb:3046 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:18.85 aq:9.84 tex:266435 mv:6319 misc:582 imb:65 pmb:1117 smb:2418 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:18.83 aq:13.75 tex:26496 mv:6625 misc:1479 imb:2 pmb:848 smb:2750 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:18.82 aq:15.16 tex:12203 mv:3650 misc:1587 imb:4 pmb:544 smb:3052 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:18.84 aq:15.44 tex:11509 mv:3760 misc:1515 imb:3 pmb:538 smb:3059 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:18.85 aq:10.02 tex:254429 mv:6239 misc:580 imb:68 pmb:1116 smb:2416 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:18.85 aq:13.42 tex:25856 mv:6399 misc:1529 imb:4 pmb:807 smb:2789 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:18.85 aq:15.31 tex:12101 mv:3881 misc:1506 imb:0 pmb:550 smb:3050 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:18.85 aq:14.64 tex:12882 mv:3717 misc:1505 imb:3 pmb:557 smb:3040 d:- ref:0 ;
